scenario,level,level_label,level_unit,model,horizon,mean_delta_rmse_pct,ci95_delta_rmse_pct,n_runs,plot_response_log10_1p,plot_ci_low_log10_1p,plot_ci_high_log10_1p
gaussian_noise,0.05,0.05,sigma_frac_iqr,daily_naive,30min,0.8768872974899228,0.03736916664879226,3,0.2734381950785972,0.26470407272460716,0.2820001223116384
gaussian_noise,0.05,0.05,sigma_frac_iqr,last_value,30min,13.211482323552156,0.1055573747886186,3,1.1526393792198057,1.1494015688305335,1.155853229174287
gaussian_noise,0.05,0.05,sigma_frac_iqr,seasonal_mix_strict,30min,13.12373144879219,0.10742494383258316,3,1.149949451215014,1.146633585967069,1.1532401913373311
gaussian_noise,0.05,0.05,sigma_frac_iqr,topology_blend_strict,30min,12.591490072628673,0.10097186526621141,3,1.1332670722472573,1.1300286324202709,1.136481542357062
gaussian_noise,0.1,0.1,sigma_frac_iqr,daily_naive,30min,3.461263805038682,0.07746211028989555,3,0.6494579048567616,0.6418509002153118,0.6569339573508249
gaussian_noise,0.1,0.1,sigma_frac_iqr,last_value,30min,45.7361181819017,0.18738891978829447,3,1.669652637833918,1.6679078296356245,1.671390464184979
gaussian_noise,0.1,0.1,sigma_frac_iqr,seasonal_mix_strict,30min,45.46411970912129,0.19022707338156966,3,1.6671177135920352,1.6653360346006945,1.6688921131566872
gaussian_noise,0.1,0.1,sigma_frac_iqr,topology_blend_strict,30min,43.799792546607854,0.18225910595455566,3,1.6512760029251068,1.6495055578186713,1.653039259927234
gaussian_noise,0.2,0.2,sigma_frac_iqr,daily_naive,30min,13.208776204207801,0.15860871806025462,3,1.1525566739410322,1.147681501314133,1.1573777272726484
gaussian_noise,0.2,0.2,sigma_frac_iqr,last_value,30min,134.30619559880293,0.31210765245364347,3,2.131317683166493,2.130314749024638,2.1323183065265674
gaussian_noise,0.2,0.2,sigma_frac_iqr,seasonal_mix_strict,30min,133.63015285849295,0.3141835483081941,3,2.1291423388886406,2.128127650576313,2.130154662001915
gaussian_noise,0.2,0.2,sigma_frac_iqr,topology_blend_strict,30min,129.46796285608178,0.309379167436491,3,2.115503881306823,2.114472814210052,2.1165325063235056
outage_block,24.0,24h,block_hours,daily_naive,30min,0.2587113632397473,0.17552016520498012,3,0.09992615288496756,0.03470512229706821,0.15661926528539352
outage_block,24.0,24h,block_hours,last_value,30min,5.7140475013025,0.3037605051803967,3,0.8269844095185743,0.8068774738311352,0.8462014825933216
outage_block,24.0,24h,block_hours,seasonal_mix_strict,30min,5.672090341664856,0.2747652072090491,3,0.8242619181184273,0.8059984236442047,0.8417882683605791
outage_block,24.0,24h,block_hours,topology_blend_strict,30min,5.43554742098254,0.34664586007659615,3,0.8085854947991155,0.7845389528850478,0.8313701622780069
outage_block,72.0,72h,block_hours,daily_naive,30min,0.8369426858473394,1.5818580316580384,3,0.26409560616506533,0.0,0.5338737864327064
outage_block,72.0,72h,block_hours,last_value,30min,32.16208623860804,13.089969507060161,3,1.5206418443575815,1.3025931740000423,1.6651310404082118
outage_block,72.0,72h,block_hours,seasonal_mix_strict,30min,32.159351977768345,13.12720523906777,3,1.5206060346879673,1.3017274928190004,1.665454879263374
outage_block,72.0,72h,block_hours,topology_blend_strict,30min,30.9785144884172,12.497701282378483,3,1.5048582854118517,1.2896070820869392,1.6481278284890981
outage_block,168.0,168h,block_hours,daily_naive,30min,3.9537682071784666,1.473227928582978,3,0.6949356815597798,0.5416466640041601,0.8080080387904396
outage_block,168.0,168h,block_hours,last_value,30min,82.26482084362864,14.59174845027678,3,1.9204615519408093,1.8367864779116085,1.9905899859707916
outage_block,168.0,168h,block_hours,seasonal_mix_strict,30min,82.25038417083643,14.64384464210546,3,1.920386246297149,1.8363655143347473,1.990757089468388
outage_block,168.0,168h,block_hours,topology_blend_strict,30min,78.53564224271315,13.478467368337524,3,1.90056179231015,1.8199199958963324,1.9685488330854437
random_missing,0.1,0.1,missing_rate,daily_naive,30min,0.018450711642967566,0.0075229731203109605,3,0.00794001597787071,0.004720113175112598,0.011136221683533672
random_missing,0.1,0.1,missing_rate,last_value,30min,0.6891120971600726,0.21366532519120923,3,0.2276584722842131,0.1689235465657806,0.2793879896017501
random_missing,0.1,0.1,missing_rate,seasonal_mix_strict,30min,0.691978692101899,0.20557849005937934,3,0.2283948894590122,0.17213575568209177,0.27819487206312943
random_missing,0.1,0.1,missing_rate,topology_blend_strict,30min,0.6590785383029575,0.20294925351198675,3,0.21986694536387305,0.16319993622609663,0.2699861587837757
random_missing,0.3,0.3,missing_rate,daily_naive,30min,0.02840386641124397,0.026179330795247244,3,0.012163700757590344,0.0009650305679073743,0.023080847387408197
random_missing,0.3,0.3,missing_rate,last_value,30min,2.752202710053011,0.7424558771385976,3,0.5742862927878822,0.4785299661279418,0.6526967084541188
random_missing,0.3,0.3,missing_rate,seasonal_mix_strict,30min,2.7245255873028067,0.6898362453713742,3,0.5710709622016658,0.4821142394012716,0.6448679281671302
random_missing,0.3,0.3,missing_rate,topology_blend_strict,30min,2.63551552757833,0.7115963876196703,3,0.5605660038904012,0.4659653581779803,0.6382008211264886
random_missing,0.5,0.5,missing_rate,daily_naive,30min,0.11649357462892995,0.07499350340731896,3,0.04785622806914105,0.01765930398242195,0.07608933667997075
random_missing,0.5,0.5,missing_rate,last_value,30min,6.517253160425864,1.7948683237965544,3,0.876059176336906,0.7575770612295546,0.9690486330686231
random_missing,0.5,0.5,missing_rate,seasonal_mix_strict,30min,6.51351846362741,1.7536184385038056,3,0.8758433579763991,0.7604149454173172,0.9669455788407936
random_missing,0.5,0.5,missing_rate,topology_blend_strict,30min,6.247040172062678,1.7224446207380486,3,0.8601606687222789,0.7423004893693979,0.9527674978858195
spike_noise,0.001,0.001,spike_rate,daily_naive,30min,1.3910388950681607,0.05231403653468918,3,0.37858664084855786,0.3689791318351132,0.38798620343558715
spike_noise,0.001,0.001,spike_rate,last_value,30min,20.38282968376542,0.42719575337996774,3,1.3300651767720735,1.3213008032421143,1.3386561720988945
spike_noise,0.001,0.001,spike_rate,seasonal_mix_strict,30min,20.238762239095266,0.42292040392183816,3,1.327129203162991,1.3183939793341342,1.3356921888633737
spike_noise,0.001,0.001,spike_rate,topology_blend_strict,30min,19.44789379931598,0.4331947990096846,3,1.3106485808791857,1.3013490631651314,1.319753136088944
spike_noise,0.005,0.005,spike_rate,daily_naive,30min,6.7134165453743435,0.1257924523670356,3,0.8872467850735066,0.8801058068797046,0.8942722431376191
spike_noise,0.005,0.005,spike_rate,last_value,30min,79.81795317753732,1.3810362223441823,3,1.9075078471588753,1.9000223803094562,1.9148664781148328
spike_noise,0.005,0.005,spike_rate,seasonal_mix_strict,30min,79.38461214339787,1.364295559585309,3,1.9051729206288888,1.8977387652888271,1.9124819584976298
spike_noise,0.005,0.005,spike_rate,topology_blend_strict,30min,76.69587511247221,1.3622299198403647,3,1.8903979626433307,1.8827160019236642,1.897946400395606
spike_noise,0.01,0.01,spike_rate,daily_naive,30min,13.277469530711413,0.37542250922394194,3,1.1546512420178268,1.1430787531088806,1.165923349811576
spike_noise,0.01,0.01,spike_rate,last_value,30min,134.7161738138065,2.2930736182942377,3,2.1326316072730065,2.125231027623425,2.1399081876634005
spike_noise,0.01,0.01,spike_rate,seasonal_mix_strict,30min,134.04735617487736,2.2935652142131238,3,2.1304860864138737,2.1230469317858223,2.137799956651134
spike_noise,0.01,0.01,spike_rate,topology_blend_strict,30min,129.8714959336231,2.259107669963131,3,2.1168450666673038,2.109282802922765,2.1242779010674995
stuck_sensor,0.05,0.05,sensor_fraction,daily_naive,30min,9.719810238541855,1.7221794605895266,3,1.0301870975691043,0.9541281677150896,1.0948898374493248
stuck_sensor,0.05,0.05,sensor_fraction,last_value,30min,119.98998342400762,12.961699322055658,3,2.082749417227632,2.033537477905517,2.1269481737317557
stuck_sensor,0.05,0.05,sensor_fraction,seasonal_mix_strict,30min,119.95662393065697,12.958768213296526,3,2.082629656557032,2.0334151327150716,2.1268304973928918
stuck_sensor,0.05,0.05,sensor_fraction,topology_blend_strict,30min,116.5704054327493,12.652901411978242,3,2.0702980158323845,2.020847950209395,2.114688719471814
stuck_sensor,0.1,0.1,sensor_fraction,daily_naive,30min,15.887790905754974,8.854612176755598,3,1.2275728431656008,0.9048874296242647,1.4106490863430237
stuck_sensor,0.1,0.1,sensor_fraction,last_value,30min,170.64518962227365,69.66560178783276,3,2.2346316367755987,2.00851325236974,2.382576743977025
stuck_sensor,0.1,0.1,sensor_fraction,seasonal_mix_strict,30min,170.59241687692398,69.65456089927788,3,2.234498091314106,2.008335494988716,2.382461881421675
stuck_sensor,0.1,0.1,sensor_fraction,topology_blend_strict,30min,162.72118404304172,69.25768913961461,3,2.2141048768326255,1.9752640093033023,2.3673165404415037
stuck_sensor,0.2,0.2,sensor_fraction,daily_naive,30min,35.11187358141898,9.082071664682829,3,1.5576500213806672,1.4318428630578206,1.6550802551135264
stuck_sensor,0.2,0.2,sensor_fraction,last_value,30min,315.20663825905353,71.36683188581897,3,2.4999709830187538,2.3888820273740006,2.5883540414333774
stuck_sensor,0.2,0.2,sensor_fraction,seasonal_mix_strict,30min,315.13310341569564,71.35974533269501,3,2.4998699747324253,2.388764146042155,2.588263691931952
stuck_sensor,0.2,0.2,sensor_fraction,topology_blend_strict,30min,304.5263410225354,73.54160212326735,3,2.4850486589896366,2.365459415796779,2.578717058751024
time_shift,1.0,1step,shift_steps,daily_naive,30min,0.11441532245787882,1.9233632618876244e-17,3,0.047047074712711245,0.047047074712711245,0.047047074712711245
time_shift,1.0,1step,shift_steps,last_value,30min,6.87314019951491,1.2309524876080796e-15,3,0.8961479851310279,0.8961479851310279,0.896147985131028
time_shift,1.0,1step,shift_steps,seasonal_mix_strict,30min,6.824716185561816,0.0,3,0.8934685939782615,0.8934685939782615,0.8934685939782615
time_shift,1.0,1step,shift_steps,topology_blend_strict,30min,6.60355856739439,0.0,3,0.8810168955014467,0.8810168955014467,0.8810168955014467
time_shift,3.0,3step,shift_steps,daily_naive,30min,0.3914206181618393,0.0,3,0.14345843447338488,0.14345843447338488,0.14345843447338488
time_shift,3.0,3step,shift_steps,last_value,30min,19.97556344356416,0.0,3,1.3217136356339532,1.3217136356339532,1.3217136356339532
time_shift,3.0,3step,shift_steps,seasonal_mix_strict,30min,19.86000296008049,0.0,3,1.3193143657178625,1.3193143657178625,1.3193143657178625
time_shift,3.0,3step,shift_steps,topology_blend_strict,30min,19.230990151090147,0.0,3,1.3060171386596586,1.3060171386596586,1.3060171386596586
time_shift,6.0,6step,shift_steps,daily_naive,30min,0.8774090025782941,0.0,3,0.27355889606989336,0.27355889606989336,0.27355889606989336
time_shift,6.0,6step,shift_steps,last_value,30min,36.91322676750599,0.0,3,1.5787907484909522,1.5787907484909522,1.5787907484909522
time_shift,6.0,6step,shift_steps,seasonal_mix_strict,30min,36.68667253690359,0.0,3,1.5761877940520044,1.5761877940520044,1.5761877940520044
time_shift,6.0,6step,shift_steps,topology_blend_strict,30min,35.60285366067351,0.0,3,1.563514945524785,1.563514945524785,1.563514945524785
